Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,6301.0,003,,65.0,,,,1.0,2.0,,,,,,,,,,,0,"Thuraisingham, Bhavani","Wang, Yigong",,,,
CS,6301.0,MS1,,6.0,6.0,4.0,3.0,1.0,,,,,,,,,,,,1,"Nguyen, Nhut",,,,,
CS,6301.0,MS2,,9.0,4.0,4.0,2.0,,,1.0,,,,,,,,,,1,"Mazidi, Karen J",,,,,
CS,6304.0,001,,10.0,2.0,,,,,,,,,,,,,,,0,"Kapoor, Bhanu",,,,,
CS,6305.0,001,,19.0,1.0,,2.0,,,,,,,,,,,,,1,"Cankaya, Ebru C","Tian, Zijing","Wang, Yigong",,,
CS,6307.0,501,,19.0,8.0,3.0,,,,,,,,,,,,,,0,"Nagar, Anurag","Li, Yufei",,,,
CS,6308.0,001,,13.0,,,,,,,,,,,,,,,,0,"Gupta, Neeraj K","Hsu, Chih-Wei",,,,
CS,6313.0,001,,58.0,21.0,13.0,11.0,4.0,5.0,2.0,,,,,1.0,,,,,1,"Chen, Min","Wasala Mudiyanselage, Indrajith K","Kim, Sungbum",,,
CS,6313.0,002,,67.0,14.0,5.0,14.0,5.0,7.0,3.0,,,,,3.0,,,,,1,"Chen, Min","Kim, Sungbum","Wasala Mudiyanselage, Indrajith K",,,
CS,6314.0,002,,54.0,11.0,5.0,4.0,1.0,,,,,,,,,,,,0,"Yuruk, Nurcan","Yadlapalli, Yaswanth",,,,
CS,6319.0,001,,13.0,3.0,1.0,4.0,,,,,,,,,,,,,2,"Fox, Kyle J",,,,,
CS,6320.0,001,,7.0,5.0,6.0,4.0,2.0,2.0,3.0,,,,,,,,,,2,"Moldovan, Dan I","Veloso De Andrade Pinto, Joao Pedro",,,,
CS,6320.0,002,,17.0,22.0,11.0,3.0,1.0,3.0,1.0,,,,,1.0,,,,,1,"Harabagiu, Sanda M","Weinzierl, Maxwell A","Veloso De Andrade Pinto, Joao Pedro",,,
CS,6322.0,001,,38.0,13.0,10.0,6.0,2.0,1.0,,,,,,,,,,,0,"Harabagiu, Sanda M","Weinzierl, Maxwell A",,,,
CS,6324.0,001,,22.0,11.0,12.0,9.0,7.0,,1.0,,,,,1.0,,,,,0,"Kim, Chung Hwan","Chung, Yu-Yen","Dhoked, Sahil",,,
CS,6326.0,001,,10.0,,1.0,19.0,7.0,,2.0,,,,,,,,,,0,"Cole, John",,,,,
CS,6328.0,001,,21.0,,,,,,,,,,,,,,,,0,"Fishwick, Paul",,,,,
CS,6334.0,001,,46.0,6.0,9.0,4.0,,1.0,2.0,,,,,,,,,,1,"Kim, Jin R","Singhal, Yatharth",,,,
CS,6340.0,0W1,,6.0,1.0,2.0,2.0,1.0,,,,,,,1.0,,,,,0,"Haas, Zygmunt J","Tian, Zijing",,,,
CS,6347.0,001,,23.0,7.0,1.0,2.0,1.0,,,,,,,1.0,,,,1.0,4,"Gogate, Vibhav G","Peddi, Rohith",,,,
CS,6348.0,001,,23.0,19.0,10.0,4.0,2.0,,1.0,,,,,,,,,,0,"Kantarcioglu, Murat","Celiktug, Mestan Firat",,,,
CS,6349.0,001,,36.0,8.0,10.0,3.0,,,,,,,,,,,,,0,"Hao, Shuang","Li, Shuo",,,,
CS,6350.0,001,,45.0,34.0,32.0,5.0,1.0,,,,,,,,,,,,0,"Khan, Latifur R","Irtiza, Saquib",,,,
