Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,6301.0,1,,20.0,,,,,,,,,,,,,,,,0,"Ricks, Brian",,,,,
CS,6301.0,4,,56.0,10.0,1.0,1.0,,,,,,,,,,,,,0,"Du, Xinya","Lee, Yi-Hui",,,,
CS,6301.0,3,,88.0,10.0,2.0,,,,,,,,,,,,,,0,"Alagar, Sridhar","Song, Zihe",,,,
CS,6301.0,2,,104.0,1.0,4.0,1.0,,,,,,,,,,,,,0,"Thuraisingham, Bhavani M","Wang, Yigong",,,,
CS,6304.0,1,,1.0,2.0,10.0,,,,,,,,,,,,,,0,"Basu, Kanad","Si, Qilin",,,,
CS,6305.0,1,,37.0,2.0,2.0,,,,,,,,,,,,,,0,"Cankaya, Ebru","Hossen, Md Helal",,,,
CS,6307.0,501,,15.0,9.0,1.0,,,,,,,,,,,,,,0,"Nagar, Anurag","Pham, Truong Q",,,,
CS,6308.0,501,,19.0,6.0,1.0,,1.0,,,,,,,,,,,,1,"Ricks, Brian","Li, Congzhou",,,,
CS,6313.0,2,,87.0,10.0,11.0,5.0,1.0,2.0,3.0,,,,,,,,,,0,"Chen, Min","Rahman, Nusma","Thomas, Yaga S",,,
CS,6313.0,1,,50.0,14.0,16.0,13.0,7.0,7.0,6.0,,,,,,,,,,0,"Chen, Min","Thomas, Yaga S","Rahman, Nusma",,,
CS,6314.0,501,,33.0,47.0,28.0,2.0,,,,,,,,,,,,,0,"Min, Richard K","Alshammary, Mitha H",,,,
CS,6319.0,1,,12.0,13.0,2.0,1.0,1.0,,,,,,,,,,,,0,"Raichel, Benjamin A","Malouf, Brian D",,,,
CS,6320.0,2,,20.0,28.0,10.0,2.0,,1.0,,,,,,1.0,,,,,0,"Harabagiu, Sanda M","Weinzierl, Maxwell A",,,,
CS,6320.0,1,,20.0,3.0,7.0,12.0,7.0,,2.0,,,,,1.0,,,,,0,"Moldovan, Dan I","Li, Ruosen",,,,
CS,6322.0,1,,46.0,18.0,2.0,,1.0,,1.0,,,,,,,,,,0,"Harabagiu, Sanda M","Weinzierl, Maxwell A",,,,
CS,6324.0,1,,27.0,7.0,6.0,6.0,2.0,3.0,4.0,,,,,9.0,,,,,2,"Kim, Chung Hwan","Mohan, Sudharssan T","Mukherjee, Kunal",,,
CS,6326.0,1,,14.0,6.0,2.0,15.0,1.0,,2.0,,,,,1.0,,,,,0,"Cole, John P","Perry, Jonathan J",,,,
CS,6334.0,1,,51.0,16.0,7.0,8.0,7.0,7.0,3.0,,,,,,,,,,0,"Kim, Jin R","Singhal, Yatharth","Bhardwaj, Ayush",,,
CS,6340.0,1,,11.0,4.0,2.0,1.0,,1.0,1.0,,,,,,,,,,0,"Haas, Zygmunt J",,,,,
CS,6347.0,1,,19.0,,5.0,1.0,1.0,3.0,1.0,,,,,,,,,,8,"Ruozzi, Nicholas R","Abdeljaber, Luay",,,,
CS,6348.0,1,,35.0,26.0,6.0,6.0,,,,,,,,1.0,,,,,0,"Kantarcioglu, Murat","Das, Souvik","Kadoi, Takemaru",,,
CS,6349.0,1,,29.0,25.0,12.0,3.0,6.0,,,,,,,,,,,,0,"Hao, Shuang","Guo, Hung-Jui",,,,
