Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CS,6301.0,001,,27.0,2.0,,,,,,,,,,,,,,,,"Gibney, Daniel J",,,,,
CS,6301.0,M01,,7.0,,2.0,1.0,,,,,,,,,,,,,,"Nguyen, Nhut",,,,,
CS,6301.0,M02,,8.0,2.0,,,,,,,,,,,,,,,,"Davis, Chris I",,,,,
CS,6304.0,001,,6.0,,1.0,1.0,,,,,,,,2.0,,,,,,"Pedram, Hossein","Zhao, Guangwei","Hashemi Esmaeilabad, Seyed Saeed",,,
CS,6305.0,501,,28.0,2.0,1.0,4.0,,,1.0,,,,,,,,,1.0,,"Cankaya, Ebru","Hatfield, Cody R",,,,
CS,6307.0,001,,12.0,7.0,2.0,,,,,,,,,,,,,,,"Nagar, Anurag","Su, Ke",,,,
CS,6308.0,501,,27.0,5.0,11.0,3.0,1.0,,,,,,,,,,,,,"Ricks, Brian",,,,,
CS,6313.0,001,,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,"Chen, Min","Kim, Jimi",,,,
CS,6313.0,002,,34.0,11.0,17.0,11.0,3.0,3.0,1.0,,,,,1.0,,,,,,"Chen, Min","Kim, Jimi",,,,
CS,6314.0,501,,37.0,45.0,20.0,,,,,,,,,,,,,2.0,,"Min, Richard K","Zhou, Yisheng","Li, Xiao",,,
CS,6319.0,001,,11.0,7.0,5.0,6.0,,,,,,,,1.0,,,,,,"Fox, Emily K",,,,,
CS,6320.0,001,,81.0,44.0,16.0,8.0,4.0,1.0,2.0,,,,,2.0,,,,2.0,,"Mazidi, Karen J","Kushwaha, Saksham Singh","Liu, Ximeng",,,
CS,6320.0,002,,12.0,,,,,,,,,,,1.0,,,,,,"Erekhinskaya, Tatiana N",,,,,
CS,6322.0,001,,56.0,12.0,8.0,3.0,,,,,,,,,,,,,,"Harabagiu, Sanda M","Weinzierl, Maxwell A",,,,
CS,6324.0,001,,38.0,10.0,3.0,3.0,4.0,1.0,2.0,,,,,3.0,,,,3.0,,"Kim, Chung Hwan","Mohan, Sudharssan T","Bhardwaj, Ayush",,,
CS,6334.0,001,,49.0,17.0,3.0,1.0,5.0,2.0,4.0,,,,,,,,,1.0,,"Kim, Jin Ryong","Bhardwaj, Ayush","Pratap, Ashish",,,
CS,6340.0,001,,4.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,"Haas, Zygmunt J","Rathnasuriya, Ravishka S","Mulka, Sai Tharun Reddy",,,
CS,6346.0,001,,12.0,8.0,2.0,,,,,,,,,,,,,1.0,,"Mittal, Neeraj","Mao, Wei",,,,
CS,6347.0,001,,29.0,5.0,5.0,4.0,2.0,1.0,,,,,,1.0,,,,1.0,,"Ruozzi, Nicholas R","Pallapothula, Likhitha",,,,
CS,6348.0,001,,74.0,,,,,,,,,,,,,,,1.0,,"Thuraisingham, Bhavani M","Islam, Md Shihabul",,,,
CS,6349.0,501,,66.0,13.0,8.0,1.0,,,,,,,,,,,,1.0,,"Hao, Shuang","Zhao, Yichen",,,,
CS,6350.0,001,,56.0,30.0,11.0,2.0,,,,,,,,,,,,,,"Nagar, Anurag","Nguyen, Phat V","Irtiza, Saquib",,,
